EL_NATUREPIECEG;EL_SOUCHE;EL_NUMERO;EL_NUMLIGNE;EL_CODEARTICLE;EL_ARTICLE;EL_QTEFACT;EL_LIBELLE;EL_LIBCOMPL;EL_PUHTDEV;EL_REMISELIGNE;EL_PUTTCDEV;EL_NONIMPRIMABLE
CC;GCC;15102018;1;A005;A005;12;BALAI COCO/BASSINE 29CM;;19.5;0;;-
CC;GCC;15102018;2;A042;A042;12;MANCHE SIMPLE 24;;8.5;0;;-
