cc_code;cc_libelle
9;Hygiène
0;Inedits
1;Brosserie
14;Nouveaux métiers
15;Ecologique
16;Idées cadeaux
17;Offre du moment
4;Couture
5;Sacs poubelle
7;Papeterie
80;Textile bio
81;Objets personnalisables
