yts_codearticle;yts_tariftiers;yts_datedebut;yts_datefin;yts_prixnet
A112;001;01/01/2018 00:00;31/12/2099 00:00;44,98
A113;001;01/01/2018 00:00;31/12/2099 00:00;46,2
A121;001;01/01/2018 00:00;31/12/2099 00:00;25,8
A130;001;01/01/2018 00:00;31/12/2099 00:00;71,55
A131;001;01/01/2018 00:00;31/12/2099 00:00;30,6
A132;001;01/01/2018 00:00;31/12/2099 00:00;10,0
A135;001;01/01/2018 00:00;31/12/2099 00:00;39,95
A136;001;01/01/2018 00:00;31/12/2099 00:00;17,45
A138;001;01/01/2018 00:00;31/12/2099 00:00;20,0
A140;001;01/01/2018 00:00;31/12/2099 00:00;13,1
A141;001;01/01/2018 00:00;31/12/2099 00:00;51,05
A142;001;01/01/2018 00:00;31/12/2099 00:00;38,0
A143;001;01/01/2018 00:00;31/12/2099 00:00;72,55
A144;001;01/01/2018 00:00;31/12/2099 00:00;16,0
A145;001;01/01/2018 00:00;31/12/2099 00:00;11,61
A146;001;01/01/2018 00:00;31/12/2099 00:00;10,0
A147;001;01/01/2018 00:00;31/12/2099 00:00;40,87
A150;001;01/01/2018 00:00;31/12/2099 00:00;33,4
A160;001;01/01/2018 00:00;31/12/2099 00:00;79,05
A161;001;01/01/2018 00:00;31/12/2099 00:00;72,55
A162;001;01/01/2018 00:00;31/12/2099 00:00;82,9
A170B;001;01/01/2018 00:00;31/12/2099 00:00;32,97
A171B;001;01/01/2018 00:00;31/12/2099 00:00;77,6
A180;001;01/01/2018 00:00;31/12/2099 00:00;39,7
A181;001;01/01/2018 00:00;31/12/2099 00:00;50,82
A190;001;01/01/2018 00:00;31/12/2099 00:00;41,95
A200;001;01/01/2018 00:00;31/12/2099 00:00;43,3
A201;001;01/01/2018 00:00;31/12/2099 00:00;69,05
A204;001;01/01/2018 00:00;31/12/2099 00:00;43,95
A210;001;01/01/2018 00:00;31/12/2099 00:00;106,3
A211;001;01/01/2018 00:00;31/12/2099 00:00;47,5
C001;001;01/01/2018 00:00;31/12/2099 00:00;15,8
C003;001;01/01/2018 00:00;31/12/2099 00:00;11,57
C004;001;01/01/2018 00:00;31/12/2099 00:00;15,95
C060;001;01/01/2018 00:00;31/12/2099 00:00;15,89
C061;001;01/01/2018 00:00;31/12/2099 00:00;18,46
C063;001;01/01/2018 00:00;31/12/2099 00:00;13,45
C065;001;01/01/2018 00:00;31/12/2099 00:00;13,3
C066;001;01/01/2018 00:00;31/12/2099 00:00;18,75
C068;001;01/01/2018 00:00;31/12/2099 00:00;15,65
C070;001;01/01/2018 00:00;31/12/2099 00:00;36,67
C071;001;01/01/2018 00:00;31/12/2099 00:00;36,67
C072;001;01/01/2018 00:00;31/12/2099 00:00;36,67
C073;001;01/01/2018 00:00;31/12/2099 00:00;36,67
CHEPL45;001;01/01/2018 00:00;31/12/2099 00:00;40,47
CHEPL46;001;01/01/2018 00:00;31/12/2099 00:00;10,96
ENV10;001;01/01/2018 00:00;31/12/2099 00:00;0,49
ENV11;001;01/01/2018 00:00;31/12/2099 00:00;1,77
ENV12;001;01/01/2018 00:00;31/12/2099 00:00;3,58
ENV14;001;01/01/2018 00:00;31/12/2099 00:00;4,48
ENV15;001;01/01/2018 00:00;31/12/2099 00:00;0,59
ENV16;001;01/01/2018 00:00;31/12/2099 00:00;1,14
ENV17;001;01/01/2018 00:00;31/12/2099 00:00;1,96
ENV18;001;01/01/2018 00:00;31/12/2099 00:00;3,91
ENV19;001;01/01/2018 00:00;31/12/2099 00:00;2,84
ENV1;001;01/01/2018 00:00;31/12/2099 00:00;0,16
ENV20;001;01/01/2018 00:00;31/12/2099 00:00;5,1
ENV21;001;01/01/2018 00:00;31/12/2099 00:00;1,31
ENV23;001;01/01/2018 00:00;31/12/2099 00:00;2,6
ENV24;001;01/01/2018 00:00;31/12/2099 00:00;3,78
ENV27;001;01/01/2018 00:00;31/12/2099 00:00;0,68
ENV28;001;01/01/2018 00:00;31/12/2099 00:00;0,73
ENV2;001;01/01/2018 00:00;31/12/2099 00:00;0,17
ENV30;001;01/01/2018 00:00;31/12/2099 00:00;1,54
ENV31;001;01/01/2018 00:00;31/12/2099 00:00;1,28
ENV32;001;01/01/2018 00:00;31/12/2099 00:00;1,68
ENV33;001;01/01/2018 00:00;31/12/2099 00:00;1,34
ENV36;001;01/01/2018 00:00;31/12/2099 00:00;6,42
ENV37;001;01/01/2018 00:00;31/12/2099 00:00;2,35
ENV3;001;01/01/2018 00:00;31/12/2099 00:00;0,18
ENV4;001;01/01/2018 00:00;31/12/2099 00:00;0,18
ENV5;001;01/01/2018 00:00;31/12/2099 00:00;0,23
ENV6;001;01/01/2018 00:00;31/12/2099 00:00;0,32
ENV7;001;01/01/2018 00:00;31/12/2099 00:00;0,38
ENV8;001;01/01/2018 00:00;31/12/2099 00:00;0,38
ENV9;001;01/01/2018 00:00;31/12/2099 00:00;0,39
F040;001;01/01/2018 00:00;31/12/2099 00:00;37,27
F045;001;01/01/2018 00:00;31/12/2099 00:00;5,7
F047;001;01/01/2018 00:00;31/12/2099 00:00;16,35
F063;001;01/01/2018 00:00;31/12/2099 00:00;8,98
F074;001;01/01/2018 00:00;31/12/2099 00:00;19,9
F080;001;01/01/2018 00:00;31/12/2099 00:00;39,98
F081;001;01/01/2018 00:00;31/12/2099 00:00;23,75
F090;001;01/01/2018 00:00;31/12/2099 00:00;50,6
F170;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F171;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F172;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F173;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F174;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F175;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F176;001;01/01/2018 00:00;31/12/2099 00:00;11,8
F180;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F181;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F182;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F183;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F184;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F185;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F186;001;01/01/2018 00:00;31/12/2099 00:00;13,77
F190;001;01/01/2018 00:00;31/12/2099 00:00;7,42
F191;001;01/01/2018 00:00;31/12/2099 00:00;14,12
F192;001;01/01/2018 00:00;31/12/2099 00:00;21,65
F193;001;01/01/2018 00:00;31/12/2099 00:00;7,65
F194;001;01/01/2018 00:00;31/12/2099 00:00;9,3
F195;001;01/01/2018 00:00;31/12/2099 00:00;4,39
F196;001;01/01/2018 00:00;31/12/2099 00:00;9,54
F197;001;01/01/2018 00:00;31/12/2099 00:00;13,71
HY003;001;01/01/2018 00:00;31/12/2099 00:00;27,74
HY006;001;01/01/2018 00:00;31/12/2099 00:00;22,54
HY013;001;01/01/2018 00:00;31/12/2099 00:00;16,42
HY022;001;01/01/2018 00:00;31/12/2099 00:00;22,77
HY023;001;01/01/2018 00:00;31/12/2099 00:00;25,12
HY031;001;01/01/2018 00:00;31/12/2099 00:00;28,85
HY032;001;01/01/2018 00:00;31/12/2099 00:00;67,47
HY034;001;01/01/2018 00:00;31/12/2099 00:00;62,34
HY035;001;01/01/2018 00:00;31/12/2099 00:00;30,84
HY037;001;01/01/2018 00:00;31/12/2099 00:00;52,48
HY038;001;01/01/2018 00:00;31/12/2099 00:00;44,43
HY039;001;01/01/2018 00:00;31/12/2099 00:00;55,46
HY041;001;01/01/2018 00:00;31/12/2099 00:00;27,2
HY051;001;01/01/2018 00:00;31/12/2099 00:00;36,2
HY052;001;01/01/2018 00:00;31/12/2099 00:00;42,26
HY053;001;01/01/2018 00:00;31/12/2099 00:00;46,4
