gl_naturepieceg;gl_souche;gl_numero;gl_numligne;gl_datepiece;gl_tiers;gl_representant;gl_codearticle;gl_puht;gl_puttc;gl_qtefact;gl_remiseligne;gl_montantht;gl_montantttc
FAC;;VTE/2021/04183;6;19/07/2021;ADAPAGVI45;DOSSA;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04184;1;19/07/2021;DEZOLUSA45;DOSSA;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04184;2;19/07/2021;DEZOLUSA45;DOSSA;U074;30,3;36,36;1,0;0;30,3;36,36
FAC;;VTE/2021/04184;3;19/07/2021;DEZOLUSA45;DOSSA;F340;11,61;13,93;3,0;0;34,83;41,8
FAC;;VTE/2021/04184;4;19/07/2021;DEZOLUSA45;DOSSA;RAMA 5;80,0;96,0;1,0;0;80,0;96,0
FAC;;VTE/2021/04184;5;19/07/2021;DEZOLUSA45;DOSSA;HY155ASS;14,61;17,53;2,0;0;29,22;35,06
FAC;;VTE/2021/04184;6;19/07/2021;DEZOLUSA45;DOSSA;SVC001;0;0;1,0;0;0;0
FAC;;VTE/2021/04184;7;19/07/2021;DEZOLUSA45;DOSSA;SVC002;0;0;1,0;0;0;0
FAC;;VTE/2021/04185;1;19/07/2021;BOUTONSB45;DOSSA;HY282;5,15;6,18;1,0;0;5,15;6,18
FAC;;VTE/2021/04185;2;19/07/2021;BOUTONSB45;DOSSA;A202GM;69,15;82,98;1,0;0;69,15;82,98
FAC;;VTE/2021/04185;3;19/07/2021;BOUTONSB45;DOSSA;A146;7,95;9,54;1,0;0;7,95;9,54
FAC;;VTE/2021/04185;4;19/07/2021;BOUTONSB45;DOSSA;A029;13,27;15,92;1,0;0;13,27;15,92
FAC;;VTE/2021/04185;5;19/07/2021;BOUTONSB45;DOSSA;A160;69,12;82,94;2,0;0;138,24;165,89
FAC;;VTE/2021/04185;6;19/07/2021;BOUTONSB45;DOSSA;A043;7,8;9,36;2,0;0;15,6;18,72
FAC;;VTE/2021/04185;7;19/07/2021;BOUTONSB45;DOSSA;F340;11,61;13,93;1,0;0;11,61;13,93
FAC;;VTE/2021/04185;8;19/07/2021;BOUTONSB45;DOSSA;C001;13,18;15,82;1,0;0;13,18;15,82
FAC;;VTE/2021/04185;9;19/07/2021;BOUTONSB45;DOSSA;HY167;52,4;62,88;1,0;0;52,4;62,88
FAC;;VTE/2021/04185;10;19/07/2021;BOUTONSB45;DOSSA;HY173E;17,0;20,4;1,0;0;17,0;20,4
